Max_X	Min_X	Max_Y	Min_Y	CT_X	CT_Y	Area	Prmt	N_Hole	A_Hole	Elongation
106	25	217	161	66	189	2498	197	0	0	15.5360288230584
86	61	151	123	74	137	301	81	3	114	21.797342192691
166	69	105	64	118	85	2516	237	3	9	22.3247217806041
115	77	132	102	96	117	484	186	0	0	71.4793388429752
92	90	137	134	91	136	5	5	0	0	5
120	103	157	140	112	149	262	51	0	0	9.92748091603053
107	105	105	103	106	104	5	7	0	0	9.8
147	120	213	165	134	189	911	135	0	0	20.0054884742042
209	128	178	109	169	144	3416	239	1	496	16.7216042154567
198	147	227	176	173	202	2059	166	0	0	13.3831957260806
